time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude
2020-05-25 00:00:10,8126914,-34.50590515136718,149.90424331353637,130.92069174119513,27.370562665503765,0.0,5791.200000000001,5897.88
2020-05-25 00:00:20,8126914,-34.48388671875,149.9179201709981,130.68497795616892,27.170265774322804,0.32512,5791.200000000001,5897.88
2020-05-25 00:00:30,8126914,-34.47322082519531,149.92459044164542,130.22751294432376,27.273620099184804,0.0,5791.200000000001,5897.88
2020-05-25 00:00:40,8126914,-34.4630126953125,149.93092439612565,130.22751294432376,27.273620099184804,-0.32512,5791.200000000001,5897.88
2020-05-25 00:00:50,8126914,-34.45234680175781,149.93759466677295,130.68497795616892,27.170265774322804,0.0,5791.200000000001,5897.88
2020-05-25 00:01:00,8126914,-34.44190979003906,149.94409677933675,130.4640532493633,27.474431626277138,0.0,5791.200000000001,5897.88
2020-05-25 00:01:10,8126914,-34.43147277832031,149.950542839206,130.45086701924956,26.96924750183731,0.0,5791.200000000001,5897.88
2020-05-25 00:01:20,8126914,-34.42121887207031,149.95687679368623,130.45086701924956,26.96924750183731,0.0,5791.200000000001,5897.88
2020-05-25 00:01:30,8126914,-34.410552978515625,149.96343495894453,130.68497795616892,27.170265774322804,0.0,5791.200000000001,5897.88
2020-05-25 00:01:40,8126914,-34.400474419028114,149.96967315673828,130.68497795616892,27.170265774322804,0.32512,5791.200000000001,5897.88
2020-05-25 00:01:50,8126914,-34.39004671775689,149.97613906860352,130.68497795616892,27.170265774322804,0.65024,5791.200000000001,5897.88
2020-05-25 00:02:00,8126914,-34.37957246424787,149.98260498046875,130.68497795616892,27.170265774322804,0.0,5791.200000000001,5897.88
2020-05-25 00:02:10,8126914,-34.36894226074219,149.98921919842155,130.22751294432376,27.273620099184804,-0.32512,5791.200000000001,5897.88
2020-05-25 00:02:20,8126914,-34.35845947265625,149.9956652582908,130.45086701924956,26.96924750183731,0.32512,5791.200000000001,5897.88
2020-05-25 00:02:30,8126914,-34.3480224609375,150.00205526546557,129.99257813557512,27.072080237992765,0.0,5791.200000000001,5897.88
2020-05-25 00:02:40,8126914,-34.33781510692535,150.0084114074707,129.99257813557512,27.072080237992765,0.0,5791.200000000001,5897.88
2020-05-25 00:02:50,8126914,-34.32701110839844,150.0150594905931,129.99257813557512,27.072080237992765,0.0,5791.200000000001,5897.88
2020-05-25 00:03:00,8126914,-34.316619873046875,150.02144949776786,129.53471094595278,27.17564027679404,0.0,5791.200000000001,5897.88
2020-05-25 00:03:10,8126914,-34.30645751953125,150.02772739955358,129.53471094595278,27.17564027679404,0.0,5791.200000000001,5897.88
2020-05-25 00:03:20,8126914,-34.29606628417969,150.0341174067283,129.07726993792417,27.279934677709058,0.0,5791.200000000001,5897.88
2020-05-25 00:03:30,8126914,-34.285955913996304,150.04039764404297,128.84229182436798,27.07660704366503,0.32512,5791.200000000001,5897.88
2020-05-25 00:03:40,8126914,-34.27546691894531,150.0468974210778,128.62025965866428,27.38497058121386,0.0,5791.200000000001,5897.88
2020-05-25 00:03:50,8126914,-34.265379824880824,150.05315780639648,129.07726993792417,27.279934677709058,0.0,5791.200000000001,5897.88
2020-05-25 00:04:00,8126914,-34.25482177734375,150.0596774354273,128.84229182436798,27.07660704366503,0.0,5791.200000000001,5897.88
2020-05-25 00:04:10,8126914,-34.244476318359375,150.06606744260205,129.07726993792417,27.279934677709058,0.32512,5791.200000000001,5897.88
2020-05-25 00:04:20,8126914,-34.23417663574219,150.0725135024713,129.07726993792417,27.279934677709058,0.0,5791.200000000001,5897.88
2020-05-25 00:04:30,8126914,-34.22337341308594,150.0791277204241,129.30056414331452,26.97284343364374,0.0,5791.200000000001,5897.88
2020-05-25 00:04:40,8126914,-34.21343994140625,150.0853495695153,129.33740132857275,27.99205304459268,0.0,5791.200000000001,5897.88
2020-05-25 00:04:50,8126914,-34.20341491699219,150.0929727359694,129.00651372398744,34.76740542170357,0.0,5791.200000000001,5897.88
2020-05-25 00:05:00,8126914,-34.19485318458686,150.10150909423828,128.84742692697156,43.05851360908562,0.0,5791.200000000001,5897.88
2020-05-25 00:05:10,8126914,-34.18711853027344,150.11152617785396,128.11721473574056,49.72311178979027,0.0,5791.200000000001,5897.88
2020-05-25 00:05:20,8126914,-34.17988586425781,150.12368961256377,127.44305336139873,57.528807709151515,0.0,5791.200000000001,5897.88
2020-05-25 00:05:30,8126914,-34.174742617849574,150.13504028320312,127.45758897329034,63.64179189369933,0.0,5791.200000000001,5897.88
2020-05-25 00:05:40,8126914,-34.17036437988281,150.148296745456,126.7339867976807,71.05021207288564,0.32512,5791.200000000001,5905.5
2020-05-25 00:05:50,8126914,-34.16729736328125,150.16124491788904,126.92179041787578,74.72451308609988,0.0,5791.200000000001,5897.88
2020-05-25 00:06:00,8126914,-34.164276123046875,150.17447335379464,126.92179041787578,74.72451308609988,0.0,5791.200000000001,5897.88
2020-05-25 00:06:10,8126914,-34.161163330078125,150.18826231664542,127.284091691847,75.00891527820134,-0.32512,5791.200000000001,5897.88
2020-05-25 00:06:20,8126914,-34.15818786621094,150.20160285794006,127.15199217439827,75.23283923260941,0.0,5791.200000000001,5897.88
2020-05-25 00:06:30,8126914,-34.1553955078125,150.21438287228955,127.15199217439827,75.23283923260941,0.0,5791.200000000001,5897.88
2020-05-25 00:06:40,8126914,-34.15251159667969,150.22766736088968,127.15199217439827,75.23283923260941,0.32512,5791.200000000001,5897.88
2020-05-25 00:06:50,8126914,-34.14965096166577,150.2407264709473,127.15199217439827,75.23283923260941,0.0,5791.200000000001,5897.88
