latitude,longitude
49.473,8.514
51.035,8.679
49.606,8.368
49.969,8.147
50.993,10.473
50.708,8.082
53.535,9.835
54.379,10.145
53.805,10.719
50.823,6.187
50.406,6.528
51.099,7.602
51.483,7.899
51.53,6.537
51.401,6.936
51.23,6.504
51.614,8.616
51.996,6.84
51.518,7.612
48.425,10.932
48.111,9.763
48.396,12.724
48.081,11.283
48.901,12.518
48.636,13.195
47.859,10.014
47.671,9.511
53.427,11.783
52.629,11.82
48.778,10.264
50.263,10.996
