icao_code,iata_code,name,latitude,longitude
CYFC, YFC, FREDERICTON,45.869,-66.532
CYFE, N/A, FORESTVILLE,48.746,-69.097
CYFL, N/A, N/A,0.0,0.0
CYFO, YFO, FLIN FLON,54.678,-101.682
CYFR, YFR, FORT RESOLUTION,61.181,-113.69
CYFS, YFS, FORT SIMPSON,61.76,-121.237
CYGA, N/A, N/A,0.0,0.0
CYGK, YGK, KINGSTON,44.225,-76.597
CYGL, YGL, LA GRANDE RIVIERE,53.625,-77.704
CYGP, YGP, GASPE,48.775,-64.479
CYGQ, YGQ, GERALDTON GREENSTONE REGIONAL,49.778,-86.939
CYGR, YGR, ILES DE LA MADELEINE,47.425,-61.778
CYGT, YGT, N/A,0.0,0.0
CYGW, YGW, KUUJJUARAPIK,55.283,-77.767
CYGX, YGX, GILLAM,56.35,-94.7
CYGY, N/A, N/A,0.0,0.0
CYGZ, YGZ, N/A,0.0,0.0
CYHB, YHB, HUDSON BAY,52.817,-102.311
CYHD, YHD, DRYDEN RGNL,49.832,-92.744
CYHE, N/A, N/A,0.0,0.0
CYHI, YHI, HOLMAN,70.763,-117.806
CYHK, YHK, GJOA HAVEN,68.636,-95.85
CYHM, YHM, HAMILTON,43.173,-79.935
CYHO, YHO, N/A,0.0,0.0
CYHU, YHU, ST HUBERT,45.517,-73.417
CYHY, YHY, HAY RIVER,60.84,-115.783
CYHZ, YHZ, HALIFAX INTERNATIONAL,44.881,-63.509
CYIB, YIB, ATIKOKAN MUNI,48.774,-91.639
CYIO, YIO, POND INLET,72.683,-77.967
CYIV, YIV, N/A,0.0,0.0
CYJA, N/A, N/A,0.0,0.0
CYJN, YJN, ST JEAN,45.294,-73.281
CYJT, YJT, STEPHENVILLE,48.544,-58.55
CYKA, YKA, KAMLOOPS,50.702,-120.442
CYKF, YKF, WATERLOO RGNL,43.459,-80.384
CYKL, YKL, SCHEFFERVILLE,54.805,-66.805
CYKY, YKY, KINDERSLEY,51.517,-109.181
CYKZ, YKZ, BUTTONVILLE MUNI,43.862,-79.37
CYLA, N/A, N/A,0.0,0.0
